Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Ne craignez pas ceux qui tuent le corps mais qui ne peuvent pas tuer l'âme; craignez plutôt Dieu qui peut faire périr à la fois le corps et l'âme dans l'enfer.	Nə pa' guŋ mghɔm ghɔm Si ba mco' lə ghɔ̌m tə ŋkhəm nə Yohane.
Ne vend-on pas deux moineaux pour un sou? Cependant, aucun d'eux ne tombe à terre sans que Dieu votre Père le sache.	Po pɑ gɔ yu' kwa' pɑpúŋ, po zhyə́ gɑ Yohane nə bɑ̀ Elia yə e gɔ piŋ sɔ' a.
Quant à vous, même vos cheveux sont tous comptés.	Mo yə e ghə mtəŋ a, e yu'!
N'ayez donc pas peur: vous valez plus que beaucoup de moineaux!»	Gɑ gɔ fo' pɔ nə́ yəŋ wɔ̌ dzʉ́ nə kɑ? Bi a pɑ́ pú fo' pɔ nə́ yəŋ wɔ̌ dzʉ́ nə pɑkhʉ̌ bɑ wap cwə tətɔ bɑwə gɔm cəcɑ̌ pu gɑ
«Quiconque reconnaît publiquement qu'il est mon disciple, je reconnaîtrai moi aussi devant mon Père qui est dans les cieux qu'il est à moi	Pyə tuŋ duŋ bi po, po lə nəŋ! Ŋkwa vʉ́, po lə tsɔp kəkɔp yɔ!
mais si quelqu'un affirme publiquement ne pas me connaître, j'affirmerai moi aussi devant mon Père qui est dans les cieux que je ne le connais pas.»	Nə pa' Yohane kě sɔ̌', e lə pɑ dzʉ́ ywə, e lə nəŋ nwə́ ywə, pu ghɔm gɑ zhwenyə cwəpuŋ nə e.
«Ne pensez pas que je sois venu apporter la paix sur la terre: je ne suis pas venu apporter la paix, mais le combat.	Mú mo sɔ', bɑ́ dzʉ́ ywə, biŋ bɑ́ nwə ywə pu ghɔm gɑ: E bɑ dzʉ́ ywə, bɑ nwə mlù', so pɑ kwishwɔp pu a mghɛ mhɔ̀. Da' gɑ́ mfa' myə́ le gə pú zhyə zhyənwə yə a fɑ bi Si a.
Je suis venu séparer l'homme de son père, la fille de sa mère, la belle-fille de sa belle-mère	A lə pɑ po' Yeso to' nə́ ghɔmtə mtisuŋ myə e lə́ té msya nə a, nə pa' wap lě tə pʉɔ tʉm tsap a gɑ
on aura pour ennemis les membres de sa propre famille.	Ghəghʉɔ o Korazin! Ghəghʉɔ o Betsaida! Nə pa' msya myə pu lə ghə cəcɑ̌ po a, lə pe' bɑ́ m Tiro pu Sidon, bɑ wap lě da' shi' və́ ŋkwá mpʉə, bʉɔ tʉm tsap.
Celui qui aime son père ou sa mère plus que moi n'est pas digne de moi; celui qui aime son fils ou sa fille plus que moi n'est pas digne de moi.	Əŋ gɑ siŋ wɔ kwa' nyənyɔ gɑ́ tyɛ'dzʉ nə fyɛ', go' Tiro pu Sidon lə pɑ ywə nə yɔ.
Celui qui ne se charge pas de sa croix pour marcher à ma suite n'est pas digne de moi.	Sɔ' m nə o m Kapɛrnaum, o kwɔ' tə ŋkho pɑ kɛbəŋ, bɑ o gɔ sɔ' fi' tə ko guŋ a vʉ̌. Nə pa' msya myə pu lə ghə ywə o a lə pé'e bɑ́ m Sodɔm, bɑ Sodɔm jɑ pɑwə tyɛ' ɔ.
Celui qui voudra garder sa vie la perdra; mais celui qui perdra sa vie pour moi la retrouvera.»	A po' tə bɑwə siŋ o gɑ tyɛ' fyɛ', go' Sodɔm lə pɑ́ ywə nə go' o.
«Quiconque vous accueille m'accueille; quiconque m'accueille accueille celui qui m'a envoyé.	A lə pɑ cwə o bɔ, Yeso lɑ ghɔm gɔm gɑ: Gɑ sé o m Ta, Cyəpɔ kɛbəŋ pu cǎ', nə pa'ǒ tʉm ywə bɔ bi mzhyə́ fʉ́ pu a mzhyənwə, da' gɑ biŋ da'tə bi pǒ mkəcɔk pó.
Celui qui accueille un prophète de Dieu parce qu'il est prophète, recevra la récompense accordée à un prophète; et celui qui accueille un homme fidèle à Dieu parce qu'il est fidèle, recevra la récompense accordée à un fidèle.	Əŋ m Ta, o gə po'o pa' o yɔ a.
Je vous le déclare, c'est la vérité: celui qui donne même un simple verre d'eau fraîche à l'un de ces petits parmi mes disciples parce qu'il est mon disciple recevra sa récompense.»	Tá bɑ e hɑ guŋ ywə awɛ bəm. Sɔmmo ka zhyə́ Mú tə ně da' Tá, sɔmmo lə piŋ nə́ŋ jyə́ Tá tə́ ně da' Mú, biŋ gə mo yə Mú ghə gɑ́ e zhyə́ e a.
Lorsque Jésus eut achevé de donner ces instructions à ses douze disciples, il partit de là pour aller enseigner et prêcher dans les villes de la région.	Po sɔ' bəm guŋ yɔ awɛ pyə ŋkhəm bɑ́wə dzá wɔ a, hɑ hwitə bi po.
Jean-Baptiste, dans sa prison, entendit parler des œuvres du Christ. Alors il envoya quelques-uns de ses disciples	Po kwa kəlo' á nə po, sɔ ji'tə nwə a, nə pa' gɑ bɑ gɑ ghə tʉm byányə́ ba nə fi'nɑ hɑ Si, po gɔ ghə hwitə nə tʉm tsɔ.
demander à Jésus: «Es-tu le Messie qui doit venir ou devons-nous attendre quelqu'un d'autre?»	Əŋ, kəlo' a bɑ a yɛ̀ nə kwa, ŋkhəm a piŋ jɛ́ gɑ fǎ.
Jésus leur répondit: «Allez raconter à Jean ce que vous entendez et voyez	A lə pɑ cwə o bɔ, Yeso pɑ shyə́ nə mu' pé msɛtʉ̀ɔ tyɛ' Sabat. Jikǔ' yɛ pɑkhʉ̌ pyə́. Wap to' nə pɑ bo' mcɛ́ msɛ́tʉ̀ɔ bɑ pfɑ.
les aveugles voient, les boiteux marchent, les lépreux sont guéris, les sourds entendent, les morts reviennent à la vie et la Bonne Nouvelle est annoncée aux pauvres.	Pɑ Farisai lə nə yɔ po'o, gɔm bi Yeso gɑ: Yɔ, pɑkhʉ̌ wə́ gə ywə yə a bɑ̀ pu ka piŋ gɑ́ pu ghə tyɛ' Sabat a.
Heureux celui qui n'abandonnera pas la foi en moi!»	E pa' bi pu gɑ: Po la m ŋkhe ywə yə David lə́ ghə cwə yə jiku'u lə yɛ́ e pu a mso ghiŋ pyə a?
Quand les disciples de Jean partirent, Jésus se mit à parler de Jean à la foule en disant: «Qu'êtes-vous allés voir au désert? un roseau agité par le vent? Non?	Pa' e lə kǒ Dyə Si, pu a mso pyə, pfɑ msɛ̌ nə nuŋpwɔ' myə a lə́ bɑ pu ka piŋ gɑ sɔmmo nə pú pfɑ, kɑ yʉ́, kɑ mso pyə lə, tə ne da' mkamsi a?
Alors qu'êtes-vous allés voir? un homme vêtu d'habits magnifiques? Mais ceux qui portent des habits magnifiques se trouvent dans les palais des rois.	Kɑ pó la m ŋkhe nə mcò' gɑ́ a bɑ́ tyɛ' Sabat Dyə Si, mkamsi pɔptə mcò' la' a pɑ bɑ wap hɔ nwə̀ a?
Qu'êtes-vous donc allés voir? un prophète? Oui, vous dis-je, et même bien plus qu'un prophète.	Tə gɑ siŋ wɔ gɑ ywə tsɔ'ɔ bɑ ǎ ghu' shyə Dyə Si.
Car Jean est celui dont l'Écriture déclare: “Je vais envoyer mon messager devant toi, dit Dieu, pour t'ouvrir le chemin.”	Po la' pe' ju' ywə yə ghɔm tsyə a gɔm gɑ: Gɑ̌ shəŋ cɔmmtsò, ŋ tə́ shəŋ tsə pwɔ' a gɔm a, bɑ po ka nyəŋ shɛ thə pɔ pɔ̀ gɑ pyə wap ka hɔnwə a.
Je vous le déclare, c'est la vérité: parmi les humains, il n'a jamais existé personne de plus grand que Jean-Baptiste; pourtant, celui qui est le plus petit dans le Royaume des cieux est plus grand que lui.	Nə pa' Mú mò bɑ́ ta Sabat.
Depuis l'époque où Jean-Baptiste prêchait jusqu'à présent, le Royaume des cieux subit la violence et les violents cherchent à s'en emparer.	Yeso lə lǔ tsʉ'u gɔ ŋkho sinagogə pú.
Tous les prophètes et la loi de Moïse ont annoncé le Royaume, jusqu'à l'époque de Jean.	Mu' mo lə bɑ dyə bɔ bɑ pu é cwyəm Pɑ Farisai həŋtə Yeso nə dəŋtə e gɑ: A bɑ pú piŋ gɑ pú yɛ́ gho tyɛ' Sabat a?
Et si vous voulez bien l'admettre, Jean est cet Élie dont la venue a été annoncée.	Da' gɑ́ Yeso ghɔm bi pú gɑ: Wɑ nə po bi a pɑ́ e ghə mú jʉ̀jʉ̀ e yɑmu', e vʉ̀ ghʉm tyɛ' Sabat, bɑ é tə́ gɔ kwa é, té é ghʉm a?
Écoutez bien, si vous avez des oreilles!	Tə mcʉ̌m sʉ' nə mo yə a bɑ e cyə jʉ̀jʉ̀ a! A bɑ́ pú piŋ gɑ́ pú ghə nwə pɑpuŋ tyɛ' Sabat.
«A qui puis-je comparer les gens d'aujourd'hui? Ils ressemblent à des enfants assis sur les places publiques, dont les uns crient aux autres	E lə piŋ gɔm bi bɛ bɔ gɑ: Siŋ pu ǒ. Bɛ bɔ lə siŋ pù e, a cwə pɑpuŋ pa' yə mu' ghəŋ a.
“Nous vous avons joué un air de danse sur la flûte et vous n'avez pas dansé! Nous avons chanté des chants de deuil et vous ne vous êtes pas lamentés!”	Pɑ Farisai lə təm cwəlɔ, shu'tə shɔm pa' wap gɔ ghə tə́ zhwə Yeso a.
En effet, Jean est venu, il ne mange ni ne boit, et l'on dit: “Il est possédé d'un esprit mauvais!”	Yeso lə nə yu' po'o, dú tsʉ'u, vəŋ du pɔ yap jʉ̀m e, e pɑ́ jɛ̀ wap awɛ.
Le Fils de l'homme est venu, il mange et boit, et l'on dit: “Voyez cet homme qui ne pense qu'à manger et à boire du vin, qui est ami des collecteurs d'impôts et autres gens de mauvaise réputation!” Mais la sagesse de Dieu se révèle juste par ses effets.»	Bɑ gɔm bi pu gɑ́ ka wap ghə pu zhyə e
Alors Jésus se mit à faire des reproches aux villes dans lesquelles il avait accompli le plus grand nombre de ses miracles, parce que leurs habitants n'avaient pas changé de comportement. Il dit	po'o gɑ ywə yə gɔm ghɔm Si Esaya lə ghɔm a pəmtə́ gɑ
«Malheur à toi, Chorazin! Malheur à toi, Bethsaïda! Car si les miracles qui ont été accomplis chez vous l'avaient été à Tyr et à Sidon, il y a longtemps que leurs habitants auraient pris le deuil, se seraient couvert la tête de cendre et auraient changé de comportement.	Yəŋ bɑ gɛfa' a yə gɑ shi e a, mo yə gɑ ŋkhùŋ e té' a, yə a buŋ gɑ shwɔ' e a. Gɑ gɔ sɔ' nyəŋ Zhwenyə a nə é, e piŋ bɑ da'tə nwə dəŋdəŋ bi nthəm nthə̌m.
C'est pourquoi, je vous le déclare, au jour du Jugement Tyr et Sidon seront traitées moins sévèrement que vous.	E tə gɔ sɔ' pɑ́ cəŋ nwə pɑ; e lə pɑ́ shɔk pu lə pɑ́ ju' gi e nə sɔmtsʉ'.
Et toi, Capernaüm, crois-tu que tu t'élèveras jusqu'au ciel? Tu seras abaissée jusqu'au monde des morts. Car si les miracles qui ont été accomplis chez toi l'avaient été à Sodome, cette ville existerait encore aujourd'hui.	E tə gɔ sɔ' po' ka' tsyə a pɔ a pɑ́, e lə pí səsa' mɔk, tə nwə dəŋdəŋ cyə́ shù.
C'est pourquoi, je vous le déclare, au jour du Jugement Sodome sera traitée moins sévèrement que toi.»	Nthəm nthə̌m gɔ sɔ' pɑ́ yap mkwɛnyə map pɑ́ nə tsó tsyə̀.
En ce temps-là, Jésus s'écria: «O Père, Seigneur du ciel et de la terre, je te remercie d'avoir révélé aux petits ce que tu as caché aux sages et aux gens instruits.	Pú lə lɑ̌ mu' mo sɔ' bi Yeso, zhwenyə cwəpùŋ pɑ́ nə e, e pɑ́ fʉ̀ biŋ bɑ́ tə ghɔm; Yeso yɛ̀ é tə e ghɔmnwə, biŋ jɔ tsʉ'.
Oui, Père, tu as bien voulu qu'il en soit ainsi.	Nwə lə cyə̌ pɔmnəŋ, wap pɑ́ gɔm gɑ: Mo yəŋ gɑ tə́ bɑ́ Mu David a lə?
«Mon Père m'a remis toutes choses. Personne ne connaît le Fils si ce n'est le Père, et personne ne connaît le Père si ce n'est le Fils et ceux à qui le Fils veut le révéler.	Da' gɑ pɑ Farisai lə́ nə yu' yap gɔm gɑ: Mo yɑ̌ dɑ pɑ́ Beɛlzəbul tá mzhwenyə cwəpuŋ tə́ nə́ jəŋ mzhwenyə cwəpuŋ.
«Venez à moi vous tous qui êtes fatigués de porter un lourd fardeau et je vous donnerai le repos.	Yeso lə zhyə́ mkwɛnyə map gɔm bi pu gɑ: Guŋ nəfo tsyə a ghaptə a bɑ guŋ bipǐ. Bi a pɑ́ sɔm tisuŋ, kɑ sɔm tuŋdyə lə yə ŋkhyɛ'nyə ko nə a lə vɔk.
Prenez sur vous mon joug et laissez-moi vous instruire, car je suis doux et humble de cœur, et vous trouverez le repos pour vous-mêmes.	A pɑ gɑ́ Sata zhəŋ Sata, bɑ e ghaptə nɑ e, bɑ nəfo tsyə́ gɔ piŋ pɑwə m gɑ kɑ?
Le joug que je vous invite à prendre est facile à porter et le fardeau que je vous propose est léger.»	A pɑ gɑ́ gɑ dɑ Beɛlzəbul tə́ nə́ jəŋ mzhwenyə cwəpuŋ bɑ pɑkhʉ pɔ dɑ kɑ́ jəŋ wap ɑ? Wap nə gɔ cwɔ'tə wɔ pɑ́ wap wap.
Quelque temps après, Jésus traversait des champs de blé un jour de sabbat. Ses disciples avaient faim; ils se mirent à cueillir des épis et à en manger les grains.	Da' gɑ́ a pɑ gɑ́ gɑ̌ dɑ Zhwenyə Si tə́ nə jəŋ mzhwenyə cwəpuŋ bɑ nəfo Si sɔ' tə́ ŋkhəm nə po.
Quand les Pharisiens virent cela, ils dirent à Jésus: «Regarde, tes disciples font ce que notre loi ne permet pas le jour du sabbat!»	A nəŋ bɑ́ bi a pɑ mo ko dyə gɛ gʉ̌' jʉ tsə́ tsyə m gɑ́ kɑ? Tə ləŋdzə kwɑ e? E kwɑ e bɑ e gɔ sim dyə e.
Jésus leur répondit: «N'avez-vous pas lu ce que fit David un jour où lui-même et ses compagnons avaient faim?	Mo yə pyə e tə bɑ a pɑ́ bɑ́ gɛ bo a, mo yə pyə e tə nəŋ bəmtə shu'tə́ a pɑ sa'tə.
Il entra dans la maison de Dieu et lui et ses compagnons mangèrent les pains offerts à Dieu; il ne leur était pourtant pas permis d'en manger: notre loi ne le permet qu'aux seuls prêtres.	A po'o tə gɑ̌ siŋ wɔ gɑ́ pu gɔ sɔ' lɑ guŋ mhɔ bɑ guŋ mcap nə cwyɛ' pɔmnəŋ, da' gɑ pu tə gɔ sɔ' cwyɛ' mo nə nə cap Zhwenyə pɑ.
Ou bien, n'avez-vous pas lu dans la loi de Moïse que, le jour du sabbat, les prêtres en service dans le temple n'observent pas la loi du sabbat, et cela sans être coupables?	Mo yə e ghɔmnwə nə Mú mo a pu gɔ sɔ' nə cwyɛ' e, da' gɑ bi a pɑ́ e ghɔmnwə nə Zhwenyə Dɔlɔ̌ bɑ pu tə gɔ sɔ' nə cwyɛ' e nthʉm yəŋ dzʉ̌ kɑ yə dzʉ̌ yə a gɔ tə sɔ' a lə.
Or, je vous le déclare, il y a ici plus que le temple!	Mo ghə ta'thə pɑpúŋ, bɑ e gɔ ghə tɔmthə́ pɑpuŋ, biŋ gə ta'thə cwəpùŋ bɑ o gɔ ghə tɔmthé cwəpuŋ. Pù jyə ta'thə pɑ nə tɔm é.
Si vous saviez vraiment ce que signifient ces mots de l'Écriture: “Je désire la bonté et non des sacrifices d'animaux”, vous n'auriez pas condamné des innocents.	Wɔ gwya mnɔk mtìŋ, bi a pɑ́ po ghɔmnwə pɑpuŋ m gɑ́ kɑ̀, bɑ po pɔk tiŋ pá' a? Nə pá' ywə yə mo gɔm a bɑ ywə yə a nthəm nthʉm tʉm e a.
Car le Fils de l'homme est maître du sabbat.»	Mo pɑpúŋ nthé tsə pɑpuŋ nthʉm nthɛ́ pɑpuŋ e; mo cwəpuŋ pɑ́ nthé tsə cwəpuŋ nthʉm nthɛ cwəpuŋ e.
Jésus partit de là et se rendit dans leur synagogue.	Tɑ́ gɑ siŋ wɔ gɑ́ pɔmnəŋ gɔ sɔ' pa' nwə nə mghɔm cwəpuŋ myə a lə təm shwə́ pu a.
Il y avait là un homme dont la main était paralysée. Les Pharisiens voulaient accuser Jésus; c'est pourquoi ils lui demandèrent: «Notre loi permet-elle de faire une guérison le jour du sabbat?»	Nə pa' a gɔ sɔ' cyə pɑ́ m nə mghɔm mǔ tɑ́ o təm nə shɛ́, piŋ cyə pɑ́ m nə mghɔm mǔ tɑ́ o kó nə shɛ́.
Jésus leur répondit: «Si l'un d'entre vous a un seul mouton et que celui-ci tombe dans un trou profond le jour du sabbat, n'ira-t-il pas le prendre pour le sortir de là?	A lə pɑ́ po'o shɑ́ pɑ zhyə́ mco' pu a pɑ Farisai lɑ ghɔm gɔ́m gɑ: Ta pyə wə shəŋ gɑ́ o ghə pyə yɔ ta' mtiŋ.
Et un homme vaut beaucoup plus qu'un mouton! Donc, notre loi permet de faire du bien à quelqu'un le jour du sabbat.»	Yeso pa' bi pu gɑ: Pɔ nə wɔdzʉ cwəpuŋ pɑ́ ghə ghap həŋtə́ mtiŋ! Pu tə gɔ piŋ la'tə sɔm mtiŋ bi pu pɑ́ tə ně da' myə́ gɔm ghɔm Si Yona.
Jésus dit alors à l'homme: «Avance ta main.» Il l'avança et elle redevint saine comme l'autre.	Nə pa' dəŋdəŋ pá' Yona lə ghə mtyɛ'dzʉ́ məthá ba mtsʉ̌' məthá vam mɑ bapgu a, a dəŋdəŋ po'o tɑ́ Mú mo gɔ sɔ' ghə mtyɛ'dzʉ́ məthá ba mtsʉ̌' məthá nthʉm ca'.
Les Pharisiens s'en allèrent et tinrent conseil pour décider comment ils pourraient faire mourir Jésus.	A gɔ sɔ' pɑ́ tyɛ'dzʉ́ nə fyɛ', pɑ́ Ninivə lusi pu a pɔ nə yəŋ wɔdzʉ́ pɑ́ Ninivə pɑ nyəŋ shɛ thə̀ pú nə pa' a bɑ wap lě ju' ghɔm Yona bʉɔtʉ́m tsap a. Tə́ po zhyə gɑ́ mo yə e tsɔ' a cyə Yona.
Quand Jésus apprit cela, il quitta cet endroit et un grand nombre de personnes le suivirent. Il guérit tous les malades	A gɔ sɔ' pɑ́ nə tyɛ̌' dzʉ nə fyɛ́' shɛ, Mɑfo guŋ Mto dzʉ́ lusi pu a pɔ nə yəŋ wɔdzʉ, e nyəŋ shɛ thə pú, nə pa' e lə fɑ tə dhə́ dzʉ́ sɔ' jú' zhyənwə Salomoŋ. Tə po zhyə gɑ mo yə e tsɔ' a bɑ e cyə Salomoŋ.
mais il leur recommanda sévèrement de ne pas dire qui il était.	A bɑ́ cwə yə zhwenyə cwəpuŋ təm nə mo a, e pɑ ŋkha nə mghak tsʉ́', bɑ shəŋ tsʉ' hwitə̀, da' gɑ́ e lə yɔ pɑ́.
Il en fut ainsi afin que se réalisent ces paroles du prophète Ésaïe	A pɑ́ po'o e ghɔm gɑ: Gɑ̌ gɔ pɑnyə nə tsʉ' shwə a yə dɑ təm nə a. E bɑnyə cwəlɔ, jɔ tsʉ' la' ywə pɑ nə, bɑ pu khʉ́m, jap ŋkhɛ nə.
«Voici mon serviteur que j'ai choisi, dit Dieu, celui que j'aime et en qui je mets toute ma joie. Je placerai mon Esprit sur lui et il annoncera aux nations le droit que j'instaure.	E ghɔ cwəlɔ dɑ shɑ mzhwenyə sɔmbʉə bɑ wap pɔk shyə e, pu a pú sɔ' ŋkho nə mo bɔ; mo bɔ piŋ bɔk shyə́ pa' e lə ji bɑ́ a. A gɔ sɔ' pɑ́ pɑ dəŋdəŋ po'o nə yəŋ wɔ̌ dzʉ̀ cwəpuŋ.
Il ne se disputera avec personne et ne criera pas, on ne l'entendra pas faire des discours dans les rues.	Cwə yə́ Yeso lə pɑ́ gɔm nwə bi pɔmnəŋ a, map e pu a mfɑ pyə tiŋnyə dzʉ̀ bɑwə shəŋ nə ghɔmnwə bi e.
Il ne cassera pas le roseau déjà plié et n'éteindra pas la lampe dont la lumière faiblit. Il agira ainsi jusqu'à ce qu'il ait fait triompher le droit	Mu' mo ghɔm bi e gɑ: Mɔ̌ pu a mfɑ pǔ tíŋnyə̀ dzʉ́, bɑwə shəŋ nə ghɔmnwə bu.
et toutes les nations mettront leur espoir en lui.»	Yeso pa' bi mo yə́ e lə ghɔm bi e po'o a gɑ: Wɑ̌ bɑ́ ma a? Pɑ wɑ̌ pɑ mfɑ pɑ̌?
On amena alors à Jésus un homme qui était aveugle et muet parce qu'il était possédé d'un esprit mauvais. Jésus guérit cet homme, de sorte qu'il se mit à parler et à voir.	Biŋ nya pu e nə pɑkhʉ̌ pyə gɔm gɑ: Yɔ ma a bɑ mfɑ pɑ̌ pɔ gɑ
La foule était remplie d'étonnement et tous disaient: «Serait-il le Fils de David?»	Bǎ wɑlə́ yə e ghə ywə yə Tá a thə kɛbəŋ shəŋ a bɑ e bɑ́ fɑ a yə mbɛ ba yə mjwǐ, biŋ bɑ́ ma á.
Quand les Pharisiens les entendirent, ils déclarèrent: «Cet homme ne chasse les esprits mauvais que parce que Béelzébul, leur chef, lui en donne le pouvoir!»	A lə pɑ́ tyɛ'dzʉ bɔ̌, Yeso təm dyə, shwə kə́ŋ shyə lɑpʉə.
Mais Jésus connaissait leurs pensées; il leur dit alors: «Tout royaume dont les habitants luttent les uns contre les autres finit par être détruit. Aucune ville ou aucune famille dont les habitants ou les membres luttent les uns contre les autres ne pourra se maintenir.	Mɑ vəŋ pɔ lə cu'tə bəŋ e tɑ́ e kwɔ' shwə nthʉm kənu'; guŋ pɔmnəŋ awɛ cwə kə́ŋ shyə.
Si Satan chasse ce qui est à Satan, il est en lutte contre lui-même; comment donc son royaume pourra-t-il se maintenir?	E lə lɑ̌ ghɔm tə́ tutə̀ gɔm mnwə bi pú tɑ́ a yɔm gɑ: Mu' dzəywə́ lə tə̌m bɑ́ dzə́ ywə́.
Vous prétendez que je chasse les esprits mauvais parce que Béelzébul m'en donne le pouvoir; qui donne alors à vos partisans le pouvoir de les chasser? Vos partisans eux-mêmes démontrent que vous avez tort!	Pa' e lə pɑ́ dzə́ ywə́ a, mu' gwya ywə lə vʉ giŋnyə mə́jyə̀; pǒmsəŋ kɛbəŋ sɔ', pfɑ́.
En réalité, c'est par l'Esprit de Dieu que je chasse les esprits mauvais, ce qui signifie que le Royaume de Dieu est déjà venu jusqu'à vous.	Mu' vʉ nə tsʉ' mwɔ', la' cǎ' pɑ́ tsʉ'u sàk, a lə wuŋ sá', pa' cǎ' la tə bɑ́ bɑ ǎ cu a pɑ́
«Personne ne peut entrer dans la maison d'un homme fort et s'emparer de ses biens, s'il n'a pas d'abord ligoté cet homme fort; mais après l'avoir ligoté, il peut s'emparer de tout dans sa maison.	nam cwə tə sa', ntho, a yak mŋɛ́ jə́m.
Celui qui n'est pas avec moi est contre moi; et celui qui ne m'aide pas à rassembler disperse.	Mu' vʉ nthʉm júŋ; jǔŋ kwɑ, a fám.
C'est pourquoi, je vous le déclare: les êtres humains pourront être pardonnés pour tout péché et pour toute insulte qu'ils font à Dieu; mais celui qui fait insulte au Saint-Esprit ne recevra pas de pardon.	Mu' vʉ nə ca' pɑpuŋ jam nthɔm, mu' yam nthɔm ŋkhə, mu' yam mghamnthɔk, mu' yám mghamnthá.
Celui qui dit une parole contre le Fils de l'homme sera pardonné; mais celui qui parle contre le Saint-Esprit ne sera pardonné ni dans le monde présent, ni dans le monde à venir.»	Mo yə e ghə mtəŋ a e yu'.
«Pour avoir de bons fruits, vous devez avoir un bon arbre; si vous avez un arbre malade, vous aurez de mauvais fruits. Car on reconnaît un arbre au genre de fruits qu'il produit.	Pɑkhʉ Yeso lə sɔ' bəŋ e həŋtə́ é gɑ: Nwə́ kɑ́ o pɑ dɑ ghɔm tə tútə̀ gɔm nwə bi pú?
Bande de serpents! Comment pourriez-vous dire de bonnes choses, alors que vous êtes mauvais? Car la bouche exprime ce dont le cœur est plein.	Yeso pa' bi pú gɑ́: Nə pa' a sɔ' m bi po bɑ pú ghə gɑ po zhyə nwə cyə zhyə́nwə nə Nəfò kɛbəŋ, tə sɔ' m nə pú, a lə pɑ po'o.
L'homme bon tire de bonnes choses de son bon trésor; l'homme mauvais tire de mauvaises choses de son mauvais trésor.	Nə pa' pu gɔ sɔ' hɑ́ ywə bi mo yə e ghə ywə a, é cəŋtə ji, tɑ́ sɔ' m nə́ mo yə e ka ghə ywə a, pù kwi ba yə à bi a.
Je vous le déclare: au jour du Jugement, les hommes auront à rendre compte de toute parole inutile qu'ils auront prononcée.	Ywə yə a gə bɑ́ gɔm pɑ́ ghɔm tə tutə bi pú a bɑ gɑ wap dé tə yɔ̀, bɑ ju' tə yu'.
Car c'est d'après tes paroles que tu seras jugé et déclaré soit innocent, soit coupable.»	Ghɔm gɔm ghɔm Si Esaya piŋ bɑ bəmtə nə pù ghɔm tsyə a gɔm gɑ: Pǒ gɔ sɔ' yu' pɑ gɑ kɑ́lə́, po lə yu', lé pɑ́ gɑ kɑlə́ po lə yɔ.
Alors quelques maîtres de la loi et quelques Pharisiens dirent à Jésus: «Maître, nous voudrions que tu nous fasses voir un signe miraculeux.»	Nə pa' mtʉ̌m pɔ pɔŋ gɑ bɑ a tsɑ̀, bɑ mtəŋ map sɔk. A bɑ wap cɑ́ mnyə map, po'o gɑ wap kɑ́ lɑ mnyə map jɔ tsʉ' wap lə lɑ mtəŋ map jú', wap lə nəŋ dɑ mtʉm map ju', po'o gɑ wap kɑ pʉɔtʉm tsap, biŋ jɛ wap.
